UNIQUE_KEY,SANMAR_MAINFRAME_COLOR
62822,White
62823,White
62824,White
62825,White
62831,White
62842,White
62861,Light Blue
62872,Ash
62873,Ash
62874,Ash
62875,Ash
62881,Ash
62912,Navy
62913,Navy
62914,Navy
62915,Navy
62921,Navy
62932,Navy
63002,Black
63003,Black
63004,Black
63005,Black
63011,Black
83692,Ash
83702,Black
120682,Purple
120683,Purple
120684,Purple
120685,Purple
120691,Purple
120702,Purple
120712,Light Steel
120713,Light Steel
120714,Light Steel
120715,Light Steel
120721,Light Steel
120732,Light Steel
179572,Orange
179573,Orange
179574,Orange
179575,Orange
179581,Orange
179592,Orange
200482,Maroon
200483,Maroon
200484,Maroon
200485,Maroon
200491,Maroon
200502,Maroon
213192,Light Blue
213193,Light Blue
213194,Light Blue
213195,Light Blue
228642,Deep Red
228643,Deep Red
228644,Deep Red
228645,Deep Red
228651,Deep Red
228662,Deep Red
310952,Deep Forest
310953,Deep Forest
310954,Deep Forest
310955,Deep Forest
310961,Deep Forest
310972,Deep Forest
310992,Deep Royal
310993,Deep Royal
310994,Deep Royal
310995,Deep Royal
311001,Deep Royal
311012,Deep Royal
461512,Light Blue
479013,Black
479023,Navy
479033,Petrol
478753,Red
478763,Black
478773,True Royal
478783,Wasabe
440363,Black
440373,Navy
440383,Red
440393,Pink
452563,True Royal
1132773,MO BU Country
478823,Red
478833,Black
478843,True Royal
478873,Black
478893,Black
478903,Navy
440343,Black
531743,Black
616983,Black
256202,Ash
256203,Ash
256204,Ash
256205,Ash
256211,Ash
256232,Sport Grey
256233,Sport Grey
256234,Sport Grey
256235,Sport Grey
256241,Sport Grey
256252,Sport Grey
256262,Black
256263,Black
256264,Black
256265,Black
256271,Black
256282,Black
256342,Forest
256343,Forest
256344,Forest
256345,Forest
256351,Forest
256412,Maroon
256413,Maroon
256414,Maroon
256415,Maroon
256421,Maroon
256442,Navy
256443,Navy
256444,Navy
256445,Navy
256451,Navy
256462,Navy
256542,Red
256543,Red
